season,city,date,team1,team2,winner,win_by_runs,win_by_wickets,player_of_match,venue
2023,Ahmedabad,29-05-2023,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,0,5,DP Conway,"Narendra Modi Stadium, Ahmedabad"
2023,Ahmedabad,26-05-2023,Gujarat Titans,Mumbai Indians,Gujarat Titans,62,0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad"
2023,Chennai,24-05-2023,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,81,0,Akash Madhwal,"MA Chidambaram Stadium, Chepauk, Chennai"
2023,Chennai,23-05-2023,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,15,0,RD Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai"
2023,Mumbai,21-05-2023,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,0,8,C Green,"Wankhede Stadium, Mumbai"
2023,Bengaluru,21-05-2023,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,0,6,Shubman Gill,"M Chinnaswamy Stadium, Bengaluru"
2023,Kolkata,20-05-2023,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,1,0,N Pooran,"Eden Gardens, Kolkata"
2023,Delhi,20-05-2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,77,0,RD Gaikwad,"Arun Jaitley Stadium, Delhi"
2023,Dharamsala,19-05-2023,Punjab Kings,Rajasthan Royals,Rajasthan Royals,0,4,D Padikkal,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2023,Hyderabad,18-05-2023,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,0,8,V Kohli,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2023,Dharamsala,17-05-2023,Delhi Capitals,Punjab Kings,Delhi Capitals,15,0,RR Rossouw,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2023,Lucknow,16-05-2023,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,5,0,MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2023,Ahmedabad,15-05-2023,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,34,0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad"
2023,Jaipur,14-05-2023,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,112,0,WD Parnell,"Sawai Mansingh Stadium, Jaipur"
2023,Chennai,14-05-2023,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,0,6,RK Singh,"MA Chidambaram Stadium, Chepauk, Chennai"
2023,Delhi,13-05-2023,Punjab Kings,Delhi Capitals,Punjab Kings,31,0,P Simran Singh,"Arun Jaitley Stadium, Delhi"
2023,Hyderabad,13-05-2023,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,0,7,PN Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2023,Mumbai,12-05-2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,27,0,SA Yadav,"Wankhede Stadium, Mumbai"
2023,Kolkata,11-05-2023,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,0,9,YBK Jaiswal,"Eden Gardens, Kolkata"
2023,Chennai,10-05-2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,27,0,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai"
2023,Mumbai,09-05-2023,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,0,6,SA Yadav,"Wankhede Stadium, Mumbai"
